"","%IncMSE","IncNodePurity"
"airconditioningtypeid",0.917537031365971,3642244.19516419
"architecturalstyletypeid",0,2.27373675443232e-14
"basementsqft",0,1.10134124042816e-14
"bathroomcnt",1.67249247473819,22161397.7550772
"bedroomcnt",0.839374480031496,9591390.0521074
"buildingclasstypeid",0,0
"buildingqualitytypeid",0,1.58493700234396
"calculatedbathnbr",1.52873853508243,13315143.0014662
"decktypeid",0,0
"finishedfloor1squarefeet",0.263523138347365,24649.3431739069
"calculatedfinishedsquarefeet",2.32657387974654,94986086.106317
"finishedsquarefeet12",2.22959455084491,55813177.6603195
"finishedsquarefeet13",0,3.17523785042795e-15
"finishedsquarefeet15",0.361600366480889,851449.245040964
"finishedsquarefeet50",0.427751166618495,23591.3437042299
"fips",1.43696365948233,24368405.6023311
"fireplacecnt",0.504882662995937,447848.45090268
"fullbathcnt",1.37241488038288,13451591.6709727
"garagecarcnt",3.3894342024044,33299455.3116409
"garagetotalsqft",1.82866263428352,17377740.3353776
"heatingorsystemtypeid",0.70732965390505,381069.979364038
"latitude",1.17194942784384,13125192.2833952
"longitude",1.63652043157298,13871367.0282101
"lotsizesquarefeet",2.01823072636805,13520383.0062289
"poolcnt",0,0
"poolsizesum",0,3.86571885613307e-12
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",3.18263617267849,163639090.315592
"propertylandusetypeid",2.29356948808546,26008609.9049104
"rawcensustractandblock",1.38861073902659,11621899.3284159
"regionidcity",1.72634901085332,5973052.79670304
"regionidcounty",1.09537777896394,20285803.4554246
"regionidneighborhood",1.96771867886266,2443511.45652683
"regionidzip",1.56230116365208,7714621.68317281
"roomcnt",2.17694296590863,28741231.5145816
"storytypeid",0,0
"threequarterbathnbr",0.812996036684205,133373.520302546
"typeconstructiontypeid",0,0
"unitcnt",2.05338153041597,37734142.7099699
"yardbuildingsqft17",0,12751.1320021645
"yardbuildingsqft26",0,1.23256960193885e-13
"yearbuilt",1.997266096059,19322962.3622394
"numberofstories",1.54941614153996,27329148.544316
"structuretaxvaluedollarcnt",2.1440511771345,23665106.4280116
"taxvaluedollarcnt",1.05498097314973,13676307.0504395
"assessmentyear",0,0
"landtaxvaluedollarcnt",1.36125085983222,12143669.79615
"taxamount",1.85524958296184,14016250.5944437
"taxdelinquencyyear",0.0278375194984643,1090209.02708641
"censustractandblock",1.23976052948194,14499195.8928859
