"","%IncMSE","IncNodePurity"
"airconditioningtypeid",0.972993225519557,1071495.77885866
"architecturalstyletypeid",-0.0104129719432528,78559.0240045674
"basementsqft",-0.79021075955806,192374.775791963
"bathroomcnt",3.52753409740707,46416039.1220746
"bedroomcnt",4.15694349867318,29945744.6091101
"buildingclasstypeid",0,0
"buildingqualitytypeid",0.775995905330559,12662710.7086197
"calculatedbathnbr",2.45739063298179,42902450.1699274
"decktypeid",0,0
"finishedfloor1squarefeet",1.67916017365342,18668878.7896125
"calculatedfinishedsquarefeet",3.00317998059567,66341608.093813
"finishedsquarefeet12",2.48320781548971,77134255.0569534
"finishedsquarefeet13",-0.671961293427704,42193.5142431394
"finishedsquarefeet15",1.85536945667976,449229.60371946
"finishedsquarefeet50",1.79187929339924,21301900.4878259
"finishedsquarefeet6",2.38521905200619,4693628.43059006
"fips",2.40280173859592,80300962.4208306
"fireplacecnt",1.12732018775783,2562748.30067685
"fullbathcnt",1.38531713026384,14216014.1352256
"garagecarcnt",8.20290527940069,388951288.814971
"heatingorsystemtypeid",2.55758117698056,5804628.43239576
"latitude",3.30947305353032,26518168.7973203
"longitude",4.07601339058935,29405315.0465178
"lotsizesquarefeet",3.74350558778086,112692559.548898
"poolcnt",0,0
"poolsizesum",-0.874015765318202,906350.163738273
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",4.02294722867633,385655418.349205
"propertylandusetypeid",9.80198157305475,408620268.492624
"rawcensustractandblock",3.30758700371307,96605448.4434865
"regionidcity",5.50952009620885,11136334.711469
"regionidcounty",2.06022913418957,62918637.9139171
"regionidneighborhood",4.46674533064188,5354718.70256128
"regionidzip",2.69216212418118,30702633.1688772
"roomcnt",2.49853704000724,48340662.0328012
"storytypeid",0,0
"threequarterbathnbr",0.315338292913426,2813129.71243351
"typeconstructiontypeid",0,331.446496760892
"unitcnt",1.53845703121672,1385547.3212609
"yardbuildingsqft17",-0.230265509309861,2296840.72419267
"yardbuildingsqft26",-0.837211456421225,753869.310347774
"yearbuilt",6.9648041199814,59527173.0409489
"numberofstories",1.5828317522314,4901501.65703384
"structuretaxvaluedollarcnt",3.32739498557671,41012471.746193
"taxvaluedollarcnt",0.684325635875992,16686351.5921833
"assessmentyear",0,0
"landtaxvaluedollarcnt",0.508489238204689,13156858.9356689
"taxamount",4.42534904061542,17209662.7253821
"taxdelinquencyyear",1.08890257246621,116249.426034461
"censustractandblock",2.8266285273573,66982584.9478462
