"","1","2","6","7","10","11","12","13","14","18","20","24","MeanDecreaseAccuracy","MeanDecreaseGini"
"airconditioningtypeid",-0.716978177375261,7.66401520689454,25.3706566009215,2.03275627557062,0,0,0,0.302919378169318,0,3.14720829663193,0.263523138347365,2.88009815072294,13.3776462346725,400.280483214893
"architecturalstyletypeid",0.454864253506454,3.01370904497535,4.38161578237241,-0.395265455644057,0,0,0,0,0,-0.454906431328338,0,0.662177455237499,4.48287795591945,29.3495933523988
"basementsqft",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bathroomcnt",0.49029033784546,3.46099046717843,2.1368965193676,2.40955633407948,0,0,0,1.60395592364327,0,0.971694082109562,1.9393013023093,2.52726694698628,3.83610473593806,1133.89806375763
"bedroomcnt",0.436139187994323,5.06227509317861,0.561139058583234,4.4439090790458,0,0,0,0.723639898841944,0,0.883241576008781,1.01723556790453,2.66089777277378,6.61877904335625,320.696410026723
"buildingclasstypeid",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buildingqualitytypeid",0,5.90183353272045,0.793180673921337,9.23684361095668,0,0,0,0.533193571716849,0,0.372162891655129,2.77311513265993,0.613237479748279,11.4405101502183,1025.51098579461
"calculatedbathnbr",0.330646179723412,3.00565356073495,2.19566059021095,2.26504160926432,0,0,0,1.10070353268255,0,0.596193265731998,1.96624346250771,2.3759620180585,3.47061548875945,1246.06369757448
"decktypeid",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"finishedfloor1squarefeet",0,0.801837964214328,0.691895935894588,0.488679937639029,0,0,0,0,0,0,0,0.53280068339959,0.921631302263158,8.91207849143374
"calculatedfinishedsquarefeet",0.346367320387857,7.85550251035543,0.927201414672412,6.91054147528032,0,0,0,0.913262167013991,0,0.764872416919595,1.9365162804594,3.66876129118901,9.74888986887491,1327.23968779109
"finishedsquarefeet12",0.227083193431385,7.21670197756057,1.21790811555242,6.29771768705311,0,0,0,0.719364589249556,0,0.67224830310685,1.86945879264481,3.78013403853649,9.09076016898026,1366.43038986368
"finishedsquarefeet13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161616161616162
"finishedsquarefeet15",0,1.19873162816195,0,1.01059011657378,0,0,0,0,0,0,0,0,1.24544322568056,62.8737718683193
"finishedsquarefeet50",0,0.494876932342482,0.49076826550086,0.282413091802007,0,0,0,0,0,0,0,0.810585299920579,0.651380010671587,13.4711196572812
"finishedsquarefeet6",0,0.599173464829697,-0.372602624329273,0,0,0,0,0,0,0,0,0.278759014397828,0.563710386933194,2.80988082462233
"fips",0.561409033518301,1.64385273851795,1.89454522460463,1.35334290035362,0,0,0,1.44215239823252,0,0.886282792489965,1.29449054576186,1.69763041738798,2.13470127959023,178.965703435142
"fireplacecnt",0,-0.818636368626987,4.94075079825873,0.456429063226858,0,0,0,0.37262065676255,0,0,0.371952235101114,0.45590853867412,1.67657909340623,24.5569889728029
"fullbathcnt",0.372677996249965,2.72305397682456,1.50645913174462,2.14048974326978,0,0,0,0.640661506261206,0,0.596257946584666,1.59903780821454,1.64178530150793,3.43784184254265,1129.47933564145
