"","%IncMSE","IncNodePurity"
"airconditioningtypeid",0.24263343788126,969632632870.625
"architecturalstyletypeid",0.0345459709658083,11409620659.6903
"basementsqft",0.20432211717108,43369618787.4479
"bathroomcnt",0.941859362760678,317083499761046
"bedroomcnt",0.460454414146189,85078147159224.3
"buildingclasstypeid",0,0
"buildingqualitytypeid",1.09995237233805,121668403654388
"calculatedbathnbr",0.396217416417929,264190058652724
"decktypeid",0,0
"finishedfloor1squarefeet",0.958470732429519,2857680326339.44
"calculatedfinishedsquarefeet",1.34631027139558,500543708003937
"finishedsquarefeet12",1.06859034463887,493066686956272
"finishedsquarefeet13",0.0547862696769065,3439755207.60147
"finishedsquarefeet15",0.520335976632492,20102807711878.8
"finishedsquarefeet50",0.798018898976459,2817738963105.66
"finishedsquarefeet6",-0.306746523540989,5225624511714.5
"fips",1.21600039253891,11851640469483.8
"fireplacecnt",-0.356570334294462,2152723117209.75
"fullbathcnt",0.405599266733481,211519972331801
"garagecarcnt",0.140400378416813,27591273321090.7
"garagetotalsqft",0.465079967421488,35293098112301
"heatingorsystemtypeid",0.52574731558699,10298318026735.4
"latitude",2.2001067140842,228383499026614
"longitude",1.3424732581824,129405720420352
"lotsizesquarefeet",2.07137519698518,89815186898994.5
"poolcnt",0,0
"poolsizesum",-0.240476113108896,716226655116.915
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",1.81874622871502,40897645209274.1
"propertylandusetypeid",1.97512177779272,46419042971712.5
"rawcensustractandblock",2.71554543438575,105021299362004
"regionidcity",2.08576047291838,76788858189151.6
"regionidcounty",1.90789088459966,12828369910559.1
"regionidneighborhood",0.536447853547193,110847894724875
"regionidzip",2.57145940352613,151422578864895
"roomcnt",1.65659869458115,48305340822672
"storytypeid",0,0
"threequarterbathnbr",-0.507821869481073,6116093639090.88
"typeconstructiontypeid",0,4244376813.85745
"unitcnt",0.584265709880248,10371223978217.5
"yardbuildingsqft17",-0.487335742474143,975969279414.48
"yardbuildingsqft26",0.191436931650662,225017901626.839
"yearbuilt",2.34373817134099,139268448903440
"numberofstories",0.492257503309173,7869463788042.19
"structuretaxvaluedollarcnt",4.20276593803362,1236426104047870
"taxvaluedollarcnt",8.67522163691688,5496869686826497
"assessmentyear",0,0
"taxamount",5.38409774021808,4175771700452014
"taxdelinquencyyear",0.518337626685707,2240654761222.49
"censustractandblock",2.0879448100981,102108585585122
