"","%IncMSE","IncNodePurity"
"airconditioningtypeid",1.61097045805979,75.9917556434403
"architecturalstyletypeid",-0.0547359377637659,1.78679047780756
"basementsqft",-0.890707155401947,1.02387126396192
"bathroomcnt",4.29556824684526,604.752599350698
"bedroomcnt",4.45442462975764,89.8366685594746
"buildingclasstypeid",0,0
"buildingqualitytypeid",0.432168305480375,6.05279009891344
"calculatedbathnbr",4.01600221547472,546.695473478415
"decktypeid",0,0
"finishedfloor1squarefeet",4.40043914577244,415.152399455062
"calculatedfinishedsquarefeet",7.13804072299501,405.984150843049
"finishedsquarefeet12",7.17727990014985,306.640687044106
"finishedsquarefeet13",0,7.83227649403528e-17
"finishedsquarefeet15",0.647712836586395,0.192307185412633
"finishedsquarefeet50",4.49133737721067,332.949850768708
"finishedsquarefeet6",2.09288395394304,37.5303925451129
"fips",1.71633281005182,206.75682884053
"fireplacecnt",0.776880104561045,23.6187860841745
"fullbathcnt",2.75679304081808,71.4866861609553
"garagecarcnt",3.08490203228537,61.6901178727037
"garagetotalsqft",2.15252636800222,238.268223536956
"heatingorsystemtypeid",4.05771834010501,68.7715026315494
"latitude",3.51030693484231,188.604034801025
"longitude",4.53098904977365,223.589898663322
"lotsizesquarefeet",13.5157115473567,466.717218848028
"poolcnt",0,0
"poolsizesum",-0.0823137062119737,3.97540817326502
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",2.96053428276758,378.296938958892
"propertylandusetypeid",2.58545940884342,55.5466010818157
"rawcensustractandblock",3.39523566357017,357.434772201503
"regionidcity",6.00925541931247,78.4685066275619
"regionidcounty",1.34988429061454,173.173785269457
"regionidneighborhood",4.01488754415163,29.6808776572021
"regionidzip",2.81464937482173,131.575768041757
"roomcnt",4.05746526825977,1706.13492901547
"storytypeid",0,0
"threequarterbathnbr",-0.0971216900544948,0.42192189857655
"typeconstructiontypeid",0,0.0760421656825792
"unitcnt",1.94389167110113,16.1338364737449
"yardbuildingsqft17",0.473099602245791,10.8079630500465
"yardbuildingsqft26",-0.340736035042861,0.84266033684927
"yearbuilt",9.55936844115516,544.1623718399
"structuretaxvaluedollarcnt",6.21497026621673,207.181109615771
"taxvaluedollarcnt",5.31010039868136,125.071258380284
"assessmentyear",0,0
"landtaxvaluedollarcnt",6.13004702302398,120.790836989723
"taxamount",5.17562388088579,127.666933667976
"taxdelinquencyyear",0.861340698471225,1.71753343467221
"censustractandblock",3.21864535225255,478.36678696456
