"","%IncMSE","IncNodePurity"
"airconditioningtypeid",-0.11527768177772,193819487.76549
"architecturalstyletypeid",-0.503607427195576,2525627.04771904
"basementsqft",0.264789762557959,6791828.37657393
"bathroomcnt",0.6130165229048,103181511262.028
"bedroomcnt",1.02003281382259,31148382488.6408
"buildingclasstypeid",0,0
"buildingqualitytypeid",1.74599580423787,47299712771.2038
"calculatedbathnbr",0.605990152532583,114577070410.083
"decktypeid",0,0
"finishedfloor1squarefeet",1.84048063891241,472404765.322649
"calculatedfinishedsquarefeet",2.58867287859727,197679756973.766
"finishedsquarefeet12",2.05832685385526,261096858906.862
"finishedsquarefeet13",0.441644161923194,733086.183814822
"finishedsquarefeet15",0.857854236018137,4884994195.66704
"finishedsquarefeet50",0.55853197647484,585321545.933172
"finishedsquarefeet6",-0.19784830368766,1829575410.48511
"fips",2.07341412500668,1246927914.82097
"fireplacecnt",0.190961824626893,498715723.155893
"fullbathcnt",0.965937786238544,58798685799.3203
"garagecarcnt",0.23497634878669,6806882114.18723
"garagetotalsqft",1.3097846565764,9383527121.1989
"heatingorsystemtypeid",0.699459775037392,2455023979.82681
"latitude",4.16863383100635,42088313509.5204
"longitude",3.7681168373387,42688681549.5236
"lotsizesquarefeet",1.99832183128229,33639880815.9237
"poolcnt",0,0
"poolsizesum",-0.52821523648101,80110961.1780719
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",2.27300701473084,15182889721.2721
"propertylandusetypeid",1.50864593221062,12964033963.9906
"rawcensustractandblock",1.47271777322523,29250025592.3425
"regionidcity",2.14412024549485,20191056472.7071
"regionidcounty",1.76703825221303,1545604034.88981
"regionidneighborhood",1.06080557849407,35069737657.3931
"regionidzip",1.34747418758437,42342858710.2463
"roomcnt",1.52448578956013,6641617987.99101
"storytypeid",0,0
"threequarterbathnbr",-0.133474722573258,1248016158.02604
"typeconstructiontypeid",0,1929696.83376439
"unitcnt",0.695594153182323,3799304289.65718
"yardbuildingsqft17",-0.464253395782471,149411007.490122
"yardbuildingsqft26",-0.348363242154323,16649850.4504987
"yearbuilt",1.25773087850235,44556201879.3973
"numberofstories",1.26683581551562,1008311569.68616
"structuretaxvaluedollarcnt",3.92504474274712,518333038369.382
"taxvaluedollarcnt",5.52448597409229,1403486948678.09
"assessmentyear",0,0
"landtaxvaluedollarcnt",5.51488836459932,997461768493.761
"taxdelinquencyyear",-0.0346280929761198,10061853070.7523
"censustractandblock",3.07907444121771,31903471349.7123
