"","%IncMSE","IncNodePurity"
"airconditioningtypeid",0.340792155634686,803842771369.691
"architecturalstyletypeid",-0.271357310338216,8204580189.35611
"basementsqft",0.312815648586494,117720261416.246
"bathroomcnt",1.39166228827143,841254010336385
"bedroomcnt",0.656759993885216,151833536664440
"buildingclasstypeid",0,0
"buildingqualitytypeid",0.489491880219348,217943498814557
"calculatedbathnbr",0.758232226745973,626765246903684
"decktypeid",0,0
"finishedfloor1squarefeet",1.11495929654243,2923729419351.91
"calculatedfinishedsquarefeet",1.7768829037159,1304589569198624
"finishedsquarefeet12",1.68022560147355,1694129313281037
"finishedsquarefeet13",0.1995013244354,3536207446.14338
"finishedsquarefeet15",0.419361811419844,33638936316673.5
"finishedsquarefeet50",0.937954616864502,2413951495187.53
"finishedsquarefeet6",-0.528726004554901,5524075059876.62
"fips",1.54355003766659,7777359833518.88
"fireplacecnt",-0.0747576778554779,2458800540141.69
"fullbathcnt",0.49907285319182,443695212802999
"garagecarcnt",0.0449600126813858,43928342460229.4
"garagetotalsqft",0.903170629943026,74312486413995.1
"heatingorsystemtypeid",0.936892786940092,29471316603450.7
"latitude",1.05912607322922,193064127131132
"longitude",1.01829566971458,161732007781380
"lotsizesquarefeet",1.5642349103815,118393535788772
"poolcnt",0,0
"poolsizesum",-0.664175721782088,671618207791.459
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",1.74875224018681,42880346280855.4
"propertylandusetypeid",1.10068250772835,58431631600902.1
"rawcensustractandblock",2.32883029996187,107460727528972
"regionidcity",0.635999864125136,62640255580000.9
"regionidcounty",1.34329307153875,9032713199018.11
"regionidneighborhood",0.510370418427178,72207814104167.1
"regionidzip",2.04933810301009,163859454289723
"roomcnt",1.04778713887929,41650650457510.8
"storytypeid",0,0
"threequarterbathnbr",-0.0324441788624896,34082154832527.8
"typeconstructiontypeid",0,4398840205.44417
"unitcnt",0.163531591253479,42791907384210.2
"yardbuildingsqft17",0.315213481818791,1049118766821.11
"yardbuildingsqft26",-0.295690950978323,115497043539
"yearbuilt",1.47016769407093,217860348097315
"numberofstories",0.490211129000322,7125622028505.93
"structuretaxvaluedollarcnt",4.57512764033997,3715599455057005
"assessmentyear",0,0
"landtaxvaluedollarcnt",8.00302009272592,8983252017094022
"taxamount",5.27767624560988,8025656272524096
"taxdelinquencyyear",0.331487863990078,2486410394248.39
"censustractandblock",1.3204192401443,105908542530514
