Name,%IncMSE,IncNodePurity
parcelid,3.102776072,102.2457203
transactiondate,1.426337964,90.09051215
airconditioningtypeid,0.736246435,3.907784362
architecturalstyletypeid,-0.680953189,0.104424432
basementsqft,0.610461461,0.541558605
bathroomcnt,2.224658912,25.4433182
bedroomcnt,1.949039615,39.43233517
buildingclasstypeid,0,0
buildingqualitytypeid,1.642990422,19.00900901
calculatedbathnbr,2.089022973,22.35001663
decktypeid,0,0
finishedfloor1squarefeet,1.190519755,8.428330771
calculatedfinishedsquarefeet,2.966559833,100.9366586
finishedsquarefeet12,1.780589995,95.04215902
finishedsquarefeet13,0.21857917,0.071346103
finishedsquarefeet15,0.787512307,20.67864375
finishedsquarefeet50,0.694672499,7.992127685
finishedsquarefeet6,0.925924653,4.089407897
fips,0.619007261,1.74136715
fireplacecnt,-0.540144433,1.464050717
fullbathcnt,1.141865408,14.46768853
garagecarcnt,0.978417392,6.312275519
garagetotalsqft,1.177404094,16.2855421
heatingorsystemtypeid,1.037976717,10.6900487
latitude,1.335317832,110.3296018
longitude,2.319475724,101.8726123
lotsizesquarefeet,2.668003067,109.5624321
poolcnt,0,0
poolsizesum,0.143921119,0.96826976
pooltypeid10,0,0
pooltypeid2,0,0
pooltypeid7,0,0
propertycountylandusecode,1.156398993,21.09531852
propertylandusetypeid,2.290844408,21.18874387
rawcensustractandblock,2.90547911,83.51006338
regionidcity,2.135027272,42.75750342
regionidcounty,0.996196615,1.758130814
regionidneighborhood,2.155938641,47.35049968
regionidzip,2.103539786,75.21895187
roomcnt,1.38640937,18.97337725
storytypeid,0,0
threequarterbathnbr,0.224220544,1.035528968
typeconstructiontypeid,0,0.000160671
unitcnt,2.0070964,5.372385999
yardbuildingsqft17,-0.218069927,6.718917574
yardbuildingsqft26,-0.864914467,0.347162404
yearbuilt,5.553330548,87.31501061
numberofstories,0.451344122,3.699505001
structuretaxvaluedollarcnt,3.977977918,124.082049
taxvaluedollarcnt,3.609198464,110.4971074
assessmentyear,0,0
landtaxvaluedollarcnt,3.829793951,112.2810792
taxamount,5.072355254,113.7985034
taxdelinquencyyear,0.517163474,13.22642285
censustractandblock,2.612184152,85.49102537
transaction_month,1.50030652,103.0528001
