"","%IncMSE","IncNodePurity"
"parcelid",2.57616959699784,99.3389883510137
"transactiondate",1.63437422756074,92.9650901517818
"airconditioningtypeid",0.864579292575795,3.51379874713243
"architecturalstyletypeid",-0.68676415082306,0.113320324066058
"basementsqft",0.909289322187366,0.645146335652878
"bathroomcnt",2.08593357125361,24.994754583448
"bedroomcnt",2.5535914252277,39.2630980710579
"buildingclasstypeid",0,0
"buildingqualitytypeid",1.37474407785172,18.1381693809525
"calculatedbathnbr",1.83329064852182,21.7163824335497
"decktypeid",0,0
"finishedfloor1squarefeet",0.881136590768405,8.58103802636547
"calculatedfinishedsquarefeet",3.29697933893211,103.477365449712
"finishedsquarefeet12",3.44320602979462,95.5608781948198
"finishedsquarefeet13",-0.398273605525201,0.0547727419925081
"finishedsquarefeet15",1.80358595595602,19.5534233551762
"finishedsquarefeet50",0.948722195044629,8.2262421460264
"finishedsquarefeet6",0.66573845556427,4.56346207724885
"fips",0.933442510842231,2.17091791845922
"fireplacecnt",-0.0694432759798285,1.5627186571999
"fullbathcnt",1.61109546330654,17.4355556000592
"garagecarcnt",1.19325438096046,5.73301733111528
"garagetotalsqft",1.98706704907402,19.3915950810657
"heatingorsystemtypeid",1.5587448239553,9.1787776560858
"latitude",4.34232000092022,110.057151050951
"longitude",3.3957444178101,105.95918640701
"lotsizesquarefeet",3.99928286461302,109.780606713074
"poolcnt",0,0
"poolsizesum",0.110612535802441,0.969275316922961
"pooltypeid10",0,0
"pooltypeid2",0,0
"pooltypeid7",0,0
"propertycountylandusecode",2.16202759046538,23.7290655319291
"propertylandusetypeid",2.99644931760342,19.898060948929
"rawcensustractandblock",3.4508746329192,85.628612460882
"regionidcity",2.33587564800721,45.0586406499519
"regionidcounty",0.677603979261093,2.90111375212045
"regionidneighborhood",2.21105757353568,48.0352210349456
"regionidzip",3.1735361778837,71.9752993913313
"roomcnt",1.73690908163821,18.0965822513628
"storytypeid",0,0
"threequarterbathnbr",-0.0253026873073119,0.976953948495902
"typeconstructiontypeid",0,0.000322897078965901
"unitcnt",1.99602213022665,5.52667598439792
"yardbuildingsqft17",0.411987723519625,5.80529131821879
"yardbuildingsqft26",-0.388535012220609,0.402032521890511
"yearbuilt",5.06369951757518,86.2338167243055
"numberofstories",0.572801804438931,3.49854285575503
"structuretaxvaluedollarcnt",5.77995150204206,119.506663757903
"taxvaluedollarcnt",3.98983880721379,108.965861622536
"assessmentyear",0,0
"landtaxvaluedollarcnt",3.5993181525216,107.997452399498
"taxamount",7.99717980722398,117.384299463602
"taxdelinquencyyear",0.988742193560357,12.6045457767207
"censustractandblock",3.54492879268664,89.8826944732963
"transaction_month",1.99360382353996,99.8293890985576
